paper_id,covidence_id,reference_present,reference_match_status,ref,study,title,authors,published_year,published_month,journal,volume,issue,pages,accession_number,doi,notes,tags,card_identifier_text,card_first_author,card_year,card_authors_full,card_publication_title,card_title_matches_export,card_authors_match_export,card_year_matches_export,pdf_present,pdf_file_count,pdf_filenames,pdf_paths_relative,download_status,download_manifest_status,download_method,download_error,download_finished_at_utc,text_json_present,text_json_path,text_preclean_json_present,text_preclean_json_path,text_preclean_stage2_json_present,text_preclean_stage2_json_path,text_source_filename,text_source_sha256,text_extracted_at_utc,text_n_pages,text_needs_ocr,text_ocr_applied,text_ocr_error,text_cleanup_applied,text_cleanup_profile,text_cleanup_applied_at_utc,text_cleanup_source_strategy,text_cleanup_original_extractor,text_cleanup_changed_page_count,text_cleanup_source_json_path,text_cleanup_source_json_sha256,text_cleanup_source_pdf_path,text_cleanup_source_pdf_sha256,text_cleanup_stage2_applied,text_cleanup_stage2_profile,text_cleanup_stage2_applied_at_utc,text_cleanup_stage2_source_strategy,text_cleanup_stage2_changed_page_count,text_cleanup_stage2_source_json_path,text_cleanup_stage2_source_json_sha256,text_cleanup_stage2_source_pdf_path,text_cleanup_stage2_source_pdf_sha256,text_cleanup_stage2_source_page_start,text_cleanup_stage2_source_page_end,text_cleanup_stage2_ocr_dpi,text_cleanup_stage2_ocr_psm,text_cleanup_stage2_ocr_grayscale,text_trim_status,text_trim_reason,text_trimmed_present,text_trimmed_path,text_proceedings_ready_present,text_proceedings_ready_path,text_proceedings_ready_source_kind,text_proceedings_ready_text_mode,text_proceedings_ready_reason,text_trim_method,text_trim_match_score,text_trim_start_page,text_trim_end_page,text_trim_source_text_json_path,source_categorisation_present,source_category,source_subtype,source_classification_confidence,source_likely_case_count,source_case_count_present,source_count_eligible,source_likely_sps_case_count,source_count_confidence,source_count_basis,source_count_manual_review_required,source_count_reason,source_count_version,source_counted_at_utc,source_contains_individual_level_data,source_contains_group_level_data,source_case_series_split_candidate,source_preferred_langextract_mode,source_langextract_eligible,source_manual_review_required,source_recommended_next_action,source_categorisation_reason,source_categorised_at_utc,source_manual_override_present,resolved_source_category,resolved_source_subtype,resolved_source_confidence,resolved_source_route_source,resolved_source_notes,resolved_source_alignment_tag,resolved_review_batch,resolved_reviewed_at_utc,resolved_case_series_split_candidate,resolved_langextract_mode,resolved_langextract_eligible,proceedings_qc_present,proceedings_qc_status,proceedings_qc_manual_follow_up_required,proceedings_qc_validated_text_json_path,proceedings_qc_best_match_page_index,proceedings_qc_title_score,proceedings_qc_author_score,proceedings_qc_combined_score,proceedings_qc_checked_at_utc,case_series_split_present,case_series_split_status,case_series_split_reason,case_series_split_method,case_series_split_case_count,case_series_split_text_json_path,langextract_raw_present,langextract_raw_path,langextract_model_id,langextract_generated_at_utc,langextract_total_extraction_count,summary_json_present,summary_json_path,summary_model_id,summary_generated_at_utc,summary_total_extraction_count,quality_raw_present,quality_raw_path,quality_model_id,quality_generated_at_utc,quality_publication_type,quality_extraction_count,quality_record_present,quality_record_path,quality_record_model_id,quality_record_generated_at_utc,quality_record_publication_type,quality_missing_field_count,artifact_types_present,registry_updated_at_utc
5,5,true,matched_reference,1922799,Brashear 1991,Autoantibodies to GABAergic neurons and response to plasmapheresis in stiff-man syndrome.,"Brashear, H R; Phillips, L H 2nd",1991,/,Neurology,41,10,1588-92,,,,Clinical manifestations; Immunological - Lab tests; Treatment,,,,,,,,,false,0,,,missing,,,,,false,,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,false,,,,,false,,,,,,,,,,,,,,,,,,false,,,,heuristic,,,,,false,manual_review,false,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference,2026-04-16T20:31:37.135345+00:00
10,10,true,matched_reference,2005917,Blum 1991,Stiff-person syndrome: an autoimmune disease.,"Blum, P; Jankovic, J",1991,/,Movement disorders : official journal of the Movement Disorder Society,6,1,Dec-20,,,,Awaiting classification,#10 – Blum 1991,Blum,1991,"Blum, P; Jankovic, J",Stiff-person syndrome: an autoimmune disease.,true,true,true,true,1,10_blum1991.pdf,data\pdf_original\10_blum1991.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:13:26.438196+00:00,true,data\extraction_json\text\10.json,false,,false,,10_blum1991.pdf,48f66b17d7b022cc52d0ac9903427976c977b69e473bd8e5dec7ce435b100a66,2026-03-01T19:55:42.744819+00:00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,case_series_or_multi_case,case_series,high,2,true,true,2,high,llm_joint_extraction,false,"The paper provides detailed clinical descriptions of two original SPS patients, including their history, examination, laboratory findings, treatment, and outcomes. Both are explicitly described as the authors' own cases.",llm_v1_gpt4.1,2026-04-05T19:01:39.500029+00:00,true,false,true,individual_case_split,true,false,split_cases_then_langextract,"This is a case series describing two original SPS patients with detailed individual-level clinical data, including presentation, workup, and response to therapy. The paper is not a review, group study, or basic science report.",2026-04-05T19:01:39.499989+00:00,false,case_series_or_multi_case,case_series,high,heuristic,"This is a case series describing two original SPS patients with detailed individual-level clinical data, including presentation, workup, and response to therapy. The paper is not a review, group study, or basic science report.",,,,true,individual_case_split,true,false,,,,,,,,,true,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,data\extraction_json\text_case_series_split\10.json,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count; case_series_split,2026-04-16T20:31:37.138561+00:00
11,11,true,matched_reference,2005926,Brown 1991,A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",1991,/,Movement disorders : official journal of the Movement Disorder Society,6,1,73-5,,,,Clinical manifestations; Treatment,#11 – Brown 1991,Brown,1991,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,true,true,true,true,1,11_brown1991.pdf,data\pdf_original\11_brown1991.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:15:19.640593+00:00,true,data\extraction_json\text\11.json,false,,false,,11_brown1991.pdf,fe190bbebb7d0c284380e96991d66cfd3ec9a9a447a53f690c519a1935b8d891,2026-03-01T19:58:58.338005+00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,interventional_study,controlled_or_therapeutic_group_study,high,3,true,true,3,high,llm_joint_extraction,false,"The paper describes an open-label therapeutic trial of milacemide in 10 patients, of whom 3 had stiff-person syndrome (SPS). Table 1 and the methods section clearly identify cases 8, 9, and 10 as SPS patients, with individual-level clinical details provided for each.",llm_v1_gpt4.1,2026-04-05T19:04:17.376312+00:00,true,true,false,group,true,false,run_langextract_group,"This is an interventional study (open-label trial) of milacemide in a mixed cohort of myoclonus and SPS patients. Three original SPS patients are included, with both individual and group-level data reported. The study is not a review, case report, or basic science paper.",2026-04-05T19:04:17.376292+00:00,false,interventional_study,controlled_or_therapeutic_group_study,high,heuristic,"This is an interventional study (open-label trial) of milacemide in a mixed cohort of myoclonus and SPS patients. Three original SPS patients are included, with both individual and group-level data reported. The study is not a review, case report, or basic science paper.",,,,false,group,true,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count,2026-04-16T20:31:37.140715+00:00
17,17,true,matched_reference,1583088,Bhutani 1992,Muscle spasms and stiffness that progressed for four years.,"Bhutani, M S; Mathews, T; Akuthota, P",1992,/,Hospital practice (Office ed.),27,5A,131-2,,,Yasamin Mahjoub (2023-06-07 21:51:27)(Select): Requested from UCalgary Interlibrary Loan;,,#17 – Bhutani 1992,Bhutani,1992,"Bhutani, M S; Mathews, T; Akuthota, P",Muscle spasms and stiffness that progressed for four years.,true,true,true,true,1,17_bhutani-1992-muscle spasms and stiffness that progressed for four years.pdf,data\pdf_original\17_bhutani-1992-muscle spasms and stiffness that progressed for four years.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:12:56.442907+00:00,true,data\extraction_json\text\17.json,false,,false,,17_17.pdf,ee00c37a5549d74e864b250753830c055b7319820f66814b6536e98dd9950a66,2026-03-01T20:17:23.784431+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,single_case_report,case_report,high,,true,true,,,,false,,llm_v1_gpt4.1,2026-04-05T19:50:36.758160+00:00,false,false,false,individual,true,false,run_langextract_individual,Manual review: Interlibrary-loan scan but content is a single patient vignette/case note.,2026-04-05T19:50:36.758139+00:00,true,single_case_report,case_report,reviewed,manual_review,Interlibrary-loan scan but content is a single patient vignette/case note.,appears_matched,batch_01_10,2026-03-03T00:00:00Z,false,individual,true,false,,,,,,,,,false,,,,,,true,data\extraction_json\langextract\17.json,gpt-4.1-mini,2026-03-04T21:30:41.964153+00:00,23,true,data\extraction_json\summary\17.json,gpt-4.1-mini,2026-03-04T21:30:41.964910+00:00,23,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count; langextract; summary,2026-04-16T20:31:37.147133+00:00
19,19,true,matched_reference,1631684,Clifton 1992,Stiff-man syndrome.,"Clifton, E R; Subramony, S H",1992,/,Southern medical journal,85,7,711-3,,,,Review Article,#19 – Clifton 1992,Clifton,1992,"Clifton, E R; Subramony, S H",Stiff-man syndrome.,true,true,true,true,1,19_Clifton-1992-Stiff-man syndrome.pdf,data\pdf_original\19_Clifton-1992-Stiff-man syndrome.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:19:46.499754+00:00,true,data\extraction_json\text\19.json,false,,false,,19_Clifton-1992-Stiff-man syndrome.pdf,d54adf788cfcd6f7a603ec6167e0b14f0113f5a0d2b8490fc7c32285035df34f,2026-03-01T20:33:31.936753+00:00,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,case_series_or_multi_case,case_series,high,2,true,true,2,high,llm_joint_extraction,false,"The paper presents detailed case reports of two individual patients with Stiff-man syndrome, including their clinical presentation, diagnostic workup, treatment, and outcomes. No additional original SPS-spectrum patients are described.",llm_v1_gpt4.1,2026-04-05T19:57:21.622053+00:00,true,false,true,individual_case_split,true,false,split_cases_then_langextract,"Although the paper is tagged as a review article, it explicitly provides detailed individual-level data for two original SPS patients, fulfilling the criteria for a case series. The remainder of the paper discusses literature and pathogenesis, but the primary original clinical content is the two cases.",2026-04-05T19:57:21.622030+00:00,false,case_series_or_multi_case,case_series,high,heuristic,"Although the paper is tagged as a review article, it explicitly provides detailed individual-level data for two original SPS patients, fulfilling the criteria for a case series. The remainder of the paper discusses literature and pathogenesis, but the primary original clinical content is the two cases.",,,,true,individual_case_split,true,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count,2026-04-16T20:31:37.148900+00:00
22,22,true,matched_reference,8232358,Gordon 1993,Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",1993,/,Movement disorders : official journal of the Movement Disorder Society,8,4,484-8,,,Yasamin Mahjoub (2023-07-02 04:26:20)(Select): one case of SPS - minimal extractable data present; Yasamin Mahjoub (2023-07-02 04:24:43)(Select): uploaded it; Annu Aggarwal (2023-06-30 00:23:39)(Select): Full txt was not loaded;,,#22 – Gordon 1993,Gordon,1993,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,true,true,true,true,1,22_gordon-1993-therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.pdf,data\pdf_original\22_gordon-1993-therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:34:10.602855+00:00,true,data\extraction_json\text\22.json,false,,false,,22_22.pdf,cba509a64fb203b86e053dcd7eab50742bc44753136faf65f25f54979ffb5aa4,2026-03-01T20:33:47.696879+00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,interventional_study,controlled_or_therapeutic_group_study,high,1,true,true,1,high,llm_joint_extraction,false,"The study enrolled 10 patients with various movement disorders, including one with stiff-person syndrome (SPS). Table 1 and the case descriptions confirm that only one patient had SPS. This patient is described in detail (case 10), confirming original, extractable SPS-spectrum data.",llm_v1_gpt4.1,2026-04-05T20:04:19.359626+00:00,true,true,false,group,true,false,run_langextract_group,"This is an interventional study (therapeutic trial) of milacemide in 10 patients with intractable movement disorders, including one with SPS. The paper provides both group-level and individual-level data, with a specific case description for the SPS patient. Only one original SPS-spectrum patient is included.",2026-04-05T20:04:19.359603+00:00,false,interventional_study,controlled_or_therapeutic_group_study,high,heuristic,"This is an interventional study (therapeutic trial) of milacemide in 10 patients with intractable movement disorders, including one with SPS. The paper provides both group-level and individual-level data, with a specific case description for the SPS patient. Only one original SPS-spectrum patient is included.",,,,false,group,true,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count,2026-04-16T20:31:37.150746+00:00
23,23,true,matched_reference,8232971,Penn 1993,Stiff-man syndrome treated with intrathecal baclofen.,"Penn, R D; Mangieri, E A",1993,/,Neurology,43,11,2412,,,,Treatment,#23 – Penn 1993,Penn,1993,"Penn, R D; Mangieri, E A",Stiff-man syndrome treated with intrathecal baclofen.,true,true,true,true,1,23_Penn 1993 Baclofen.pdf,data\pdf_original\23_Penn 1993 Baclofen.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T19:01:45.755392+00:00,true,data\extraction_json\text\23.json,false,,true,data\extraction_json\text_preclean_stage2\23.json,23_Penn 1993 Baclofen.pdf,fb21f91eff888de9e8e70c5348eb68fbb0883e1a72a64ba53d97e8ad5ae7431f,2026-03-01T20:33:55.534717+00:00,1,,True,,,,,,,,,,,,true,combined_basic,2026-04-01T19:40:22.501383+00:00,ocr_cleanup,1,data\extraction_json\text_preclean_stage2\23.json,192988607be4f18d03ab26c4b7b2bec732e9a648a984f2f5c7d8a4f63f3e84c0,data\pdf_original\23_Penn 1993 Baclofen.pdf,fb21f91eff888de9e8e70c5348eb68fbb0883e1a72a64ba53d97e8ad5ae7431f,,,400,3,true,,,false,,false,,,,,,,,,,true,case_series_or_multi_case,case_series,high,2,true,true,2,high,llm_joint_extraction,false,"The paper describes two individual patients with stiff-man syndrome (SPS) treated with intrathecal baclofen, providing detailed clinical histories and outcomes for each. There is no indication of additional SPS patients beyond these two.",llm_v1_gpt4.1,2026-04-05T20:05:50.862557+00:00,true,false,true,individual_case_split,true,false,split_cases_then_langextract,"This is a case series reporting on two original SPS patients, with detailed individual-level clinical data for each. The structure and content are consistent with a case series or multi-case report.",2026-04-05T20:05:50.862534+00:00,false,case_series_or_multi_case,case_series,high,heuristic,"This is a case series reporting on two original SPS patients, with detailed individual-level clinical data for each. The structure and content are consistent with a case series or multi-case report.",,,,true,individual_case_split,true,false,,,,,,,,,false,,,,,,true,data\extraction_json\langextract\23.json,gpt-4.1-mini,2026-03-04T21:30:44.307160+00:00,,true,data\extraction_json\summary\23.json,gpt-4.1-mini,2026-03-04T21:30:44.307738+00:00,,false,,,,,,false,,,,,0,reference; pdf; text; text_preclean_stage2; source_categorisation; source_sps_case_count; langextract; summary,2026-04-16T20:31:37.154633+00:00
25,25,true,matched_reference,8245784,Butler 1993,Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",1993,/,The Journal of experimental medicine,178,6,2097-106,,,,Immunological - Lab tests,#25 – Butler 1993,Butler,1993,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,true,true,true,true,1,25_Butler-1993-Identification of a dominant epito.pdf,data\pdf_original\25_Butler-1993-Identification of a dominant epito.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:16:02.350352+00:00,true,data\extraction_json\text\25.json,true,data\extraction_json\text_preclean\25.json,false,,25_Butler-1993-Identification of a dominant epito.pdf,0e9214247072da3322feaf4ebb88d8650ca432186e79890834afd3638d6d2874,2026-03-01T20:34:02.025546+00:00,10,,,,true,combined_basic,2026-03-31T19:48:43.424736+00:00,pdftotext_cleanup,pypdf,10,data\extraction_json\text_preclean\25.json,06602d61b7e702cb615403d111f696ad756ae832f1fc5f6a8e27d1bd894667ea,data\pdf_original\25_Butler-1993-Identification of a dominant epito.pdf,0e9214247072da3322feaf4ebb88d8650ca432186e79890834afd3638d6d2874,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,high,,true,true,,,,false,,llm_v1_gpt4.1,2026-04-05T20:10:05.990385+00:00,false,false,false,group,true,false,run_langextract_group,Manual review: Humoral epitope profiling across SMS sera; clinically relevant but not a case-level source.,2026-04-05T20:10:05.990360+00:00,true,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,reviewed,manual_review,Humoral epitope profiling across SMS sera; clinically relevant but not a case-level source.,appears_matched,batch_01_10,2026-03-03T00:00:00Z,false,group,true,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; text_preclean; source_categorisation; source_sps_case_count,2026-04-16T20:31:37.156922+00:00
29,29,true,matched_reference,8341305,Davis 1993,Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,"Davis, D; Jabbari, B",1993,/,Movement disorders : official journal of the Movement Disorder Society,8,3,371-3,,,,Clinical manifestations; Electrophysiology; Treatment,#29 – Davis 1993,Davis,1993,"Davis, D; Jabbari, B",Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,true,true,true,true,1,29_davis1993.pdf,data\pdf_original\29_davis1993.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:22:38.538328+00:00,true,data\extraction_json\text\29.json,false,,false,,29_davis1993.pdf,30499d54d7243304f06c2eb601cd590da23983616079932a262f100503ca2258,2026-03-01T20:34:36.883319+00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,single_case_report,case_report,high,1,true,true,1,high,llm_joint_extraction,false,"The paper presents a detailed clinical description of a single 36-year-old man with stiff-person syndrome, including his presentation, diagnostic workup, treatment, and outcomes. No other SPS-spectrum patients are described.",llm_v1_gpt4.1,2026-04-05T20:17:57.794374+00:00,true,false,false,individual,true,false,run_langextract_individual,"This is a classic single case report: the entire clinical content centers on one patient with SPS, with individual-level data and no mention of additional original cases. The structure and language are consistent with a case report.",2026-04-05T20:17:57.794352+00:00,false,single_case_report,case_report,high,heuristic,"This is a classic single case report: the entire clinical content centers on one patient with SPS, with individual-level data and no mention of additional original cases. The structure and language are consistent with a case report.",,,,false,individual,true,false,,,,,,,,,false,,,,,,true,data\extraction_json\langextract\29.json,gpt-4.1-mini,2026-03-04T21:31:17.866920+00:00,31,true,data\extraction_json\summary\29.json,gpt-4.1-mini,2026-03-04T21:31:17.867901+00:00,31,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count; langextract; summary,2026-04-16T20:31:37.160586+00:00
30,30,true,matched_reference,8381208,Folli 1993,Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P",1993,/,The New England journal of medicine,328,8,546-51,,,,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Treatment,#30 – Folli 1993,Folli,1993,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P",Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,true,true,true,true,1,30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,data\pdf_original\30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,downloaded,downloaded,direct_fetch,,2026-03-01T18:28:37.808338+00:00,true,data\extraction_json\text\30.json,false,,false,,30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,58e715df3ba532e9015929e8cf1c6ecbceeb38399f89f72c1919d5a29d884ed3,2026-03-31T18:34:56.718309+00:00,6,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,true,case_series_or_multi_case,case_series,high,3,true,true,3,high,llm_joint_extraction,false,"The paper presents detailed case reports of three women with stiff-man syndrome (SPS) and breast cancer, including clinical presentation, diagnostic workup, treatment, and outcomes. Each patient is described individually, and there is no indication that additional original SPS-spectrum patients are included.",llm_v1_gpt4.1,2026-04-05T20:19:31.761119+00:00,true,false,true,individual_case_split,true,false,split_cases_then_langextract,"This is a case series describing three original SPS-spectrum patients, each with individual-level clinical and laboratory data. The paper is not a review, conference abstract, or basic science study, and the patient count is clearly delineated.",2026-04-05T20:19:31.761096+00:00,false,case_series_or_multi_case,case_series,high,heuristic,"This is a case series describing three original SPS-spectrum patients, each with individual-level clinical and laboratory data. The paper is not a review, conference abstract, or basic science study, and the patient count is clearly delineated.",,,,true,individual_case_split,true,false,,,,,,,,,false,,,,,,false,,,,,false,,,,,false,,,,,,false,,,,,0,reference; pdf; text; source_categorisation; source_sps_case_count,2026-04-16T20:31:37.162655+00:00
